ra 		dec 		new_ra 		new_dec 		radius 
0.15 		33.6016666667 		0.1370163 		+33.6213675 		0.0009618994713426783 
0.184583333333 		28.4013888889 		0.1955766 		+28.4020071 		0.0009175870014122829 
0.195 		28.4027777778 		0.1835526 		+28.4014571 		0.0010959364461445445 
0.225 		20.345 		0.1980651 		+20.3710996 		0.00043498791822492406 
0.262083333333 		28.9116666667 		0.3070935 		+28.8777800 		0.0003658252790531654 
0.675 		18.8966666667 		0.6542355 		+18.8576167 		0.0008946060926890752 
0.712916666667 		31.4875 		0.7354659 		+31.4772457 		0.0009721254259420003 
0.789583333333 		25.1783333333 		0.7624267 		+25.1818601 		0.0005465937668089225 
0.798333333333 		15.9655555556 		0.7971525 		+15.9656969 		0.0009203359139389823 
155.015 		38.6169444444 		155.0176886 		+38.6199530 		0.0006778818290840892 
ra 		dec 		new_ra 		new_dec 		radius 
0.15 		33.6016666667 		0.1370163 		+33.6213675 		0.0009618994713426783 
0.184583333333 		28.4013888889 		0.1955766 		+28.4020071 		0.0009175870014122829 
0.195 		28.4027777778 		0.1835526 		+28.4014571 		0.0010959364461445445 
0.225 		20.345 		0.1980651 		+20.3710996 		0.00043498791822492406 
0.262083333333 		28.9116666667 		0.3070935 		+28.8777800 		0.0003658252790531654 
0.675 		18.8966666667 		0.6542355 		+18.8576167 		0.0008946060926890752 
0.712916666667 		31.4875 		0.7354659 		+31.4772457 		0.0009721254259420003 
0.789583333333 		25.1783333333 		0.7624267 		+25.1818601 		0.0005465937668089225 
0.798333333333 		15.9655555556 		0.7971525 		+15.9656969 		0.0009203359139389823 
155.015 		38.6169444444 		155.0176886 		+38.6199530 		0.0006778818290840892 
155.045416667 		27.8177777778 		155.0458485 		+27.7903876 		0.00026554495007916876 
155.075833333 		42.8211111111 		155.0595890 		+42.8131083 		0.000316124940570439 
155.13375 		43.0205555556 		155.1068342 		+43.0455511 		0.00034229458782461796 
155.15 		57.2038888889 		155.1570361 		+57.2077026 		0.0007165865174600177 
155.160416667 		25.5041666667 		155.1741908 		+25.4920425 		0.0007380280351682735 
155.182916667 		65.1722222222 		155.1806573 		+65.1720815 		0.0008707455319573239 
155.2075 		42.9716666667 		155.1874425 		+42.9785678 		0.0010426075431265746 
155.239166667 		25.3655555556 		155.2294515 		+25.3530730 		0.0009781730335007392 
155.32375 		19.6519444444 		155.3091698 		+19.6741063 		0.0002439934758698449 
